created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 11 23:18:29 +0000 2024;1756820028312449086;"ASLINYA DARI SINI, METODE "GENTONG BABI" ALA JOKOWI Yaitu Pengerahan Seluruh Kekuatan Elemen Dan Instrumen Penguasa Untuk Tujuan Kepentingan Pribadi. Tapi Lagak,Lagunya Seolah olah Untuk Kepentingan Rakyat Dengan Pengerahan Kekuatan Tersebut. #DIRTYVOTE https://t.co/WOfREIOKzg";0;1;1;2;in;2266842889;1756820028312449086;ZoelHayat;https://twitter.com/ZoelHayat/status/1756820028312449086
Sun Feb 11 23:18:29 +0000 2024;1756820027310002268;"@aewin86 Emang bikin film dokumenter kayak dirty vote harus keluar uang banyak yah...?";0;0;0;5;in;525510948;1756713840853828083;thenmustslamet;https://twitter.com/thenmustslamet/status/1756820027310002268
Sun Feb 11 23:18:18 +0000 2024;1756819983169106236;"Pertanyaannya Kepentingan Siap Dibalik Movie #DirtyVote";0;0;0;0;in;630205515;1756819983169106236;pandu_mahendra;https://twitter.com/pandu_mahendra/status/1756819983169106236
Sun Feb 11 23:18:17 +0000 2024;1756819977158672730;"@Uki23 Kenapa sih para fanatik 02 merasa panas dengan dirty vote? wkwkwkw merasa ya?";0;0;0;2;in;1703859942313320448;1756703232221745572;GretyPerty67138;https://twitter.com/GretyPerty67138/status/1756819977158672730
Sun Feb 11 23:18:10 +0000 2024;1756819946368278931;"Setelah tayangnya film dirty vote, pendukung si onoh malah makin2 bjirr udah gila deh gatau lagi nyadarinnya begimana cape bgt hatiii";0;0;0;0;in;746875135;1756819946368278931;berbrenkusuka;https://twitter.com/berbrenkusuka/status/1756819946368278931
Sun Feb 11 23:18:05 +0000 2024;1756819926483152950;"@BosPurwa @Dandhy_Laksono @DirtyVote @tempodotco @detikcom @kompascom @kumparan @inilahdotcom @rmol_id @jawapos @Metro_TV @tvOneNews @CNNIndonesia @cnbcindonesia Kebenaran itu bersandingnya dengan nurani jika nurani telah mati kebenaran apapun akan diabaikan karena hanya dianggap asumsi dan jgn abaikan masa penghakiman pasti datang itu adalah suatu keniscayaan #ber1AMINAJA";0;0;0;0;in;1683003885227741185;1756704266553901137;sastro1000;https://twitter.com/sastro1000/status/1756819926483152950
Sun Feb 11 23:18:02 +0000 2024;1756819916735537586;"@chitattooes Ini aku tanya, knp setelah adanya dirty  vote malah milih 02😅 jawabannya gini. https://t.co/A9UG1S88Mv";0;0;0;0;in;1156858620438388736;1756629530448642382;woowidazidan90;https://twitter.com/woowidazidan90/status/1756819916735537586
Sun Feb 11 23:17:50 +0000 2024;1756819863023308909;"nonton Dirty Vote sebelum pemilu rasanya kyk baca Catatan Sebas sebelum ujian KTI😊🙏.";0;1;0;2;in;1381241672198053892;1756819863023308909;notthatgoodppl;https://twitter.com/notthatgoodppl/status/1756819863023308909
Sun Feb 11 23:17:49 +0000 2024;1756819860896784719;"Gue kasih link Dirty Vote kok malah dibales "minggu tenang"  Emang nya gue lagi kampanye? Kan engga.";0;0;0;1;in;2562263449;1756819860896784719;hellourui;https://twitter.com/hellourui/status/1756819860896784719
Sun Feb 11 23:17:49 +0000 2024;1756819860615819615;"Kemaren sejujurnya agak ragu pilih 01 karena kok 03 keliatan lebih mateng. Tapi thanks to X, apalagi kejadian akhir akhir ini dan thanks to dirty vote, gue fix banget deh nyoblos 01. Emang ga salah dr dulu hati gue kek gak sreg banget ke partai mirip sapi";0;0;0;2;in;1014904238579769344;1756819860615819615;piuuuuwwww;https://twitter.com/piuuuuwwww/status/1756819860615819615
